# Time [s], NaKATPase [mM/s],HKATPase [mM/s],NBC [mM/s],
1.500050001666722288e+01,3.001112044698540251e-08,2.227660549310120917e-14,5.814516312711533409e-09
3.000100003333444576e+01,3.242483077613929347e-08,4.713790225832493021e-14,5.559807162729338906e-09
4.500150005000166686e+01,3.428746671967988023e-08,5.654989903645641345e-14,5.324411532070173558e-09
6.000200006666889152e+01,3.592877769322041506e-08,5.933635542433951052e-14,5.107304998808578133e-09
7.500250008333611618e+01,7.588717984495844181e-08,5.747994265389896797e-14,5.515782049660020894e-09
9.000300010000333373e+01,5.546152931610479072e-08,5.660095335381944385e-14,5.852918001571478423e-09
1.050035001166705513e+02,4.745629189229987856e-08,5.663820693393675507e-14,6.082556205405262752e-09
1.200040001333377830e+02,4.378811607826942304e-08,5.700934506716402082e-14,6.266752479947781722e-09
1.350045001500049864e+02,3.145449775582943026e-08,5.765620498971379562e-14,6.396028875966201902e-09
1.500050001666722324e+02,-1.248052713913575693e-08,6.032294351850803266e-14,6.025462429170173923e-09
1.650055001833394499e+02,2.794738824475999369e-08,6.102436509453676721e-14,5.596375084233656028e-09
1.800060002000066675e+02,3.166603804214246265e-08,6.079973799857281824e-14,5.316353512763831565e-09
1.950065002166738850e+02,3.365027948032526592e-08,6.058345849383128247e-14,5.063505183608805023e-09
2.100070002333411026e+02,3.534943885033264524e-08,6.038147954053319350e-14,4.832008892982430680e-09
2.250075002500083201e+02,3.683945429179297279e-08,6.018787895088371860e-14,4.619550336738889344e-09
2.400080002666755661e+02,3.820343676230446791e-08,6.000078008554386979e-14,4.424152476246059738e-09
2.550085002833427836e+02,8.562834809291526189e-08,5.586705226660424576e-14,4.003510725370926590e-09
2.700090003000099728e+02,8.190079967222670681e-08,5.322560072913813396e-14,3.200958078798414907e-09
2.850095003166772472e+02,8.251185157141420334e-08,5.041841929517404428e-14,2.417324112702573999e-09
