# time_s,Cell_Conc_H+_mmol/L,Env_Conc_H+_mmol/L,
5.000833472245374445e+00,1.101382387575547683e-01,4.086994266182526481e-01
1.000166694449074889e+01,1.102769710777103257e-01,4.087015451147572032e-01
1.500250041673612245e+01,1.104144176649668879e-01,4.087021627991334061e-01
2.000333388898149778e+01,1.105514275553850789e-01,4.087023256884068645e-01
2.500416736122687311e+01,1.106868721293696178e-01,4.087017069255638457e-01
3.000500083347224489e+01,1.108149401358526354e-01,4.086997821488469462e-01
3.500583430571762023e+01,1.109231607348959425e-01,4.086965935181995357e-01
4.000666777796299556e+01,1.110019909374565378e-01,4.086930200951629510e-01
4.500750125020837089e+01,1.110577505010474780e-01,4.086897048917519926e-01
5.000833472245374622e+01,1.111064583267862699e-01,4.086867694514587090e-01
5.500916819469912156e+01,1.111614015698511176e-01,4.086841710182879672e-01
