# time_s,Cell_Conc_H2CO3_mmol/L,Env_Conc_H2CO3_mmol/L,
5.000833472245374445e+00,9.837025576498942270e-01,8.929554482192807452e-01
1.000166694449074889e+01,9.847541033491609141e-01,8.929772251015343221e-01
1.500250041673612245e+01,9.856837128402800019e-01,8.929970373434523712e-01
2.000333388898149778e+01,9.864936123953360614e-01,8.930150454459176990e-01
2.500416736122687311e+01,9.871573375103864789e-01,8.930311940619775068e-01
3.000500083347224489e+01,9.875893136468308908e-01,8.930448605255948413e-01
3.500583430571762023e+01,9.876499415808621674e-01,8.930543805121683443e-01
4.000666777796299556e+01,9.872758016763855116e-01,8.930580656694802055e-01
4.500750125020837089e+01,9.865828706689544481e-01,8.930561296871022403e-01
5.000833472245374622e+01,9.857687635539623683e-01,8.930501400803894096e-01
5.500916819469912156e+01,9.849867914835922500e-01,8.930415514588331272e-01
